availablecapacity;freeparking;isopennow;occupation;totalcapacity;timestamp
123;0;1;52;260;20221130084001
152;0;1;41;260;20221129220501
101;0;1;61;260;20221130120501
179;0;1;31;260;20221130005001
179;0;1;31;260;20221130012001
166;0;1;36;260;20221130065001
139;0;1;46;260;20221130215001
115;0;1;55;260;20221130144001
109;0;1;58;260;20221130101001
145;0;1;44;260;20221129174801
177;0;1;31;260;20221130055001
103;0;1;60;260;20221129193201
101;0;1;61;260;20221130131501
131;0;1;49;260;20221129213401
109;0;1;58;260;20221130093001
177;0;1;31;260;20221130051001
153;0;1;41;260;20221130222501
131;0;1;49;260;20221129213201
107;0;1;58;260;20221130185001
126;0;1;51;260;20221130083001
118;0;1;54;260;20221130152001
155;0;1;40;260;20221129171201
177;0;1;31;260;20221130041001
103;0;1;60;260;20221130133501
144;0;1;44;260;20221129174401
116;0;1;55;260;20221130210001
131;0;1;49;260;20221129181001
176;0;1;32;260;20221130000001
102;0;1;60;260;20221130201501
139;0;1;46;260;20221130215501
152;0;1;41;260;20221129221001
108;0;1;58;260;20221129194801
171;0;1;34;260;20221130064501
97;0;1;62;260;20221130110501
146;0;1;43;260;20221130075002
108;0;1;58;260;20221130104001
142;0;1;45;260;20221130220001
129;0;1;50;260;20221130213001
155;0;1;40;260;20221129165201
113;0;1;56;260;20221129183401
100;0;1;61;260;20221130193001
105;0;1;59;260;20221130113501
114;0;1;56;260;20221129203001
105;0;1;59;260;20221130134001
100;0;1;61;260;20221130193501
174;0;1;33;260;20221130061501
99;0;1;61;260;20221129192001
102;0;1;60;260;20221129192601
126;0;1;51;260;20221130180501
175;0;1;32;260;20221130064001
178;0;1;31;260;20221130003501
140;0;1;46;260;20221130081001
98;0;1;62;260;20221130122001
179;0;1;31;260;20221130013501
142;0;1;45;260;20221130171501
165;0;1;36;260;20221130231501
179;0;1;31;260;20221130022501
152;0;1;41;260;20221129164401
102;0;1;60;260;20221129192801
125;0;1;51;260;20221129212201
108;0;1;58;260;20221130100001
174;0;1;33;260;20221130062001
177;0;1;31;260;20221129234001
179;0;1;31;260;20221130023001
157;0;1;39;260;20221130072501
134;0;1;48;260;20221130082501
179;0;1;31;260;20221130030001
177;0;1;31;260;20221129235001
125;0;1;51;260;20221130212001
122;0;1;53;260;20221130153501
162;0;1;37;260;20221130225501
127;0;1;51;260;20221130212501
140;0;1;46;260;20221129175401
108;0;1;58;260;20221129195401
109;0;1;58;260;20221130092501
109;0;1;58;260;20221130204001
106;0;1;59;260;20221130104501
117;0;1;55;260;20221129183201
101;0;1;61;260;20221129191201
110;0;1;57;260;20221129200201
125;0;1;51;260;20221130161501
167;0;1;35;260;20221130233001
106;0;1;59;260;20221129194001
101;0;1;61;260;20221130112501
157;0;1;39;260;20221129170401
101;0;1;61;260;20221130191001
130;0;1;50;260;20221129213001
154;0;1;40;260;20221129164001
178;0;1;31;260;20221130043501
179;0;1;31;260;20221130020502
177;0;1;31;260;20221130052001
114;0;1;56;260;20221130135501
134;0;1;48;260;20221130214501
132;0;1;49;260;20221129180201
114;0;1;56;260;20221130142001
100;0;1;61;260;20221129192201
102;0;1;60;260;20221130200501
174;0;1;33;260;20221129230501
179;0;1;31;260;20221130022001
175;0;1;32;260;20221130063501
108;0;1;58;260;20221129195801
125;0;1;51;260;20221129212001
140;0;1;46;260;20221130163737
118;0;1;54;260;20221129204401
125;0;1;51;260;20221129212601
116;0;1;55;260;20221129202201
178;0;1;31;260;20221130043001
158;0;1;39;260;20221129165401
97;0;1;62;260;20221130111001
98;0;1;62;260;20221130120001
177;0;1;31;260;20221130041501
100;0;1;61;260;20221130125001
124;0;1;52;260;20221130211001
174;0;1;33;260;20221129225001
123;0;1;52;260;20221130154001
151;0;1;41;260;20221129215501
105;0;1;59;260;20221129193601
178;0;1;31;260;20221130035001
110;0;1;57;260;20221130103001
152;0;1;41;260;20221129172601
155;0;1;40;260;20221129171601
158;0;1;39;260;20221130070501
120;0;1;53;260;20221129182001
177;0;1;31;260;20221130040501
126;0;1;51;260;20221129180601
145;0;1;44;260;20221129174001
115;0;1;55;260;20221130144501
161;0;1;38;260;20221129222501
157;0;1;39;260;20221129165801
101;0;1;61;260;20221130131001
115;0;1;55;260;20221130205001
171;0;1;34;260;20221129224001
99;0;1;61;260;20221130192001
101;0;1;61;260;20221130132001
177;0;1;31;260;20221130055501
179;0;1;31;260;20221130024001
142;0;1;45;260;20221130220501
122;0;1;53;260;20221130181501
177;0;1;31;260;20221130054501
114;0;1;56;260;20221130150501
116;0;1;55;260;20221129183001
105;0;1;59;260;20221129194201
168;0;1;35;260;20221130234534
143;0;1;45;260;20221129174201
155;0;1;40;260;20221130224001
142;0;1;45;260;20221130174501
174;0;1;33;260;20221129232501
