availablecapacity;freeparking;isopennow;occupation;totalcapacity;timestamp
301;0;1;38;489;20221130084001
327;0;1;33;489;20221129220501
247;0;1;49;489;20221130120501
360;0;1;26;489;20221130005001
361;0;1;26;489;20221130012001
371;0;1;24;489;20221130065001
299;0;1;38;489;20221130215001
263;0;1;46;489;20221130144001
262;0;1;46;489;20221130101001
328;0;1;32;489;20221129174801
367;0;1;24;489;20221130055001
194;0;1;60;489;20221129193201
242;0;1;50;489;20221130131501
294;0;1;39;489;20221129213401
284;0;1;41;489;20221130093001
365;0;1;25;489;20221130051001
333;0;1;31;489;20221130222501
295;0;1;39;489;20221129213201
286;0;1;41;489;20221130185001
302;0;1;38;489;20221130083001
265;0;1;45;489;20221130152001
348;0;1;28;489;20221129171201
366;0;1;25;489;20221130041001
239;0;1;51;489;20221130133501
329;0;1;32;489;20221129174401
271;0;1;44;489;20221130210001
290;0;1;40;489;20221129181001
362;0;1;25;489;20221130000001
265;0;1;45;489;20221130201501
299;0;1;38;489;20221130215501
327;0;1;33;489;20221129221001
206;0;1;57;489;20221129194801
372;0;1;23;489;20221130064501
242;0;1;50;489;20221130110501
319;0;1;34;489;20221130075002
253;0;1;48;489;20221130104001
309;0;1;36;489;20221130220001
282;0;1;42;489;20221130213001
345;0;1;29;489;20221129165201
215;0;1;56;489;20221129183401
265;0;1;45;489;20221130193001
262;0;1;46;489;20221130113501
264;0;1;46;489;20221129203001
238;0;1;51;489;20221130134001
263;0;1;46;489;20221130193501
372;0;1;23;489;20221130061501
191;0;1;60;489;20221129192001
191;0;1;60;489;20221129192601
306;0;1;37;489;20221130180501
372;0;1;23;489;20221130064001
361;0;1;26;489;20221130003501
312;0;1;36;489;20221130081001
241;0;1;50;489;20221130122001
363;0;1;25;489;20221130013501
310;0;1;36;489;20221130171501
364;0;1;25;489;20221130231501
364;0;1;25;489;20221130022501
337;0;1;31;489;20221129164401
191;0;1;60;489;20221129192801
289;0;1;40;489;20221129212201
270;0;1;44;489;20221130100001
374;0;1;23;489;20221130062001
358;0;1;26;489;20221129234001
364;0;1;25;489;20221130023001
343;0;1;29;489;20221130072501
306;0;1;37;489;20221130082501
365;0;1;25;489;20221130030001
362;0;1;25;489;20221129235001
272;0;1;44;489;20221130212001
270;0;1;44;489;20221130153501
355;0;1;27;489;20221130225501
276;0;1;43;489;20221130212501
311;0;1;36;489;20221129175401
217;0;1;55;489;20221129195401
286;0;1;41;489;20221130092501
266;0;1;45;489;20221130204001
252;0;1;48;489;20221130104501
219;0;1;55;489;20221129183201
