availablecapacity;freeparking;isopennow;occupation;totalcapacity;timestamp
52;0;1;13;60;20221130084001
130;0;1;-8;120;20221129220501
42;0;1;30;60;20221130120501
138;0;1;-15;120;20221130005001
138;0;1;-15;120;20221130012001
69;0;1;-15;60;20221130065001
201;0;1;0;200;20221130215001
180;0;1;10;200;20221130144001
44;0;1;26;60;20221130101001
121;0;1;0;120;20221129174801
77;0;1;-28;60;20221130055001
117;0;1;2;120;20221129193201
177;0;1;11;200;20221130131501
128;0;1;-6;120;20221129213401
49;0;1;18;60;20221130093001
77;0;1;-28;60;20221130051001
208;0;1;-4;200;20221130222501
128;0;1;-6;120;20221129213201
192;0;1;4;200;20221130185001
51;0;1;15;60;20221130083001
183;0;1;8;200;20221130152001
119;0;1;0;120;20221129171201
78;0;1;-30;60;20221130041001
175;0;1;12;200;20221130133501
121;0;1;0;120;20221129174401
198;0;1;1;200;20221130210001
117;0;1;2;120;20221129181001
139;0;1;-15;120;20221130000001
195;0;1;2;200;20221130201501
201;0;1;0;200;20221130215501
130;0;1;-8;120;20221129221001
120;0;1;0;120;20221129194801
70;0;1;-16;60;20221130064501
42;0;1;30;60;20221130110501
64;0;1;-6;60;20221130075002
43;0;1;28;60;20221130104001
202;0;1;-1;200;20221130220001
200;0;1;0;200;20221130213001
56;0;1;6;60;20221129165201
119;0;1;0;120;20221129183401
193;0;1;3;200;20221130193001
41;0;1;31;60;20221130113501
122;0;1;-1;120;20221129203001
175;0;1;12;200;20221130134001
195;0;1;2;200;20221130193501
73;0;1;-21;60;20221130061501
117;0;1;2;120;20221129192001
118;0;1;1;120;20221129192601
194;0;1;3;200;20221130180501
71;0;1;-18;60;20221130064001
138;0;1;-15;120;20221130003501
54;0;1;10;60;20221130081001
42;0;1;30;60;20221130122001
138;0;1;-15;120;20221130013501
191;0;1;4;200;20221130171501
210;0;1;-5;200;20221130231501
78;0;1;-30;60;20221130022501
52;0;1;13;60;20221129164401
118;0;1;1;120;20221129192801
128;0;1;-6;120;20221129212201
48;0;1;20;60;20221130100001
72;0;1;-20;60;20221130062001
139;0;1;-15;120;20221129234001
78;0;1;-30;60;20221130023001
66;0;1;-10;60;20221130072501
53;0;1;11;60;20221130082501
78;0;1;-30;60;20221130030001
139;0;1;-15;120;20221129235001
199;0;1;0;200;20221130212001
183;0;1;8;200;20221130153501
208;0;1;-4;200;20221130225501
200;0;1;0;200;20221130212501
119;0;1;0;120;20221129175401
120;0;1;0;120;20221129195401
49;0;1;18;60;20221130092501
195;0;1;2;200;20221130204001
43;0;1;28;60;20221130104501
119;0;1;0;120;20221129183201
116;0;1;3;120;20221129191201
120;0;1;0;120;20221129200201
186;0;1;7;200;20221130161501
209;0;1;-4;200;20221130233001
117;0;1;2;120;20221129194001
40;0;1;33;60;20221130112501
59;0;1;1;60;20221129170401
192;0;1;4;200;20221130191001
128;0;1;-6;120;20221129213001
45;0;1;25;60;20221129164001
78;0;1;-30;60;20221130043501
78;0;1;-30;60;20221130020502
77;0;1;-28;60;20221130052001
176;0;1;12;200;20221130135501
201;0;1;0;200;20221130214501
117;0;1;2;120;20221129180201
179;0;1;10;200;20221130142001
118;0;1;1;120;20221129192201
195;0;1;2;200;20221130200501
138;0;1;-15;120;20221129230501
78;0;1;-30;60;20221130022001
71;0;1;-18;60;20221130063501
120;0;1;0;120;20221129195801
128;0;1;-6;120;20221129212001
189;0;1;5;200;20221130163737
124;0;1;-3;120;20221129204401
128;0;1;-6;120;20221129212601
121;0;1;0;120;20221129202201
78;0;1;-30;60;20221130043001
56;0;1;6;60;20221129165401
42;0;1;30;60;20221130111001
42;0;1;30;60;20221130120001
78;0;1;-30;60;20221130041501
180;0;1;10;200;20221130125001
198;0;1;1;200;20221130211001
136;0;1;-13;120;20221129225001
182;0;1;9;200;20221130154001
129;0;1;-7;120;20221129215501
117;0;1;2;120;20221129193601
78;0;1;-30;60;20221130035001
44;0;1;26;60;20221130103001
117;0;1;2;120;20221129172601
119;0;1;0;120;20221129171601
70;0;1;-16;60;20221130070501
119;0;1;0;120;20221129182001
78;0;1;-30;60;20221130040501
116;0;1;3;120;20221129180601
122;0;1;-1;120;20221129174001
180;0;1;10;200;20221130144501
136;0;1;-13;120;20221129222501
57;0;1;5;60;20221129165801
178;0;1;11;200;20221130131001
196;0;1;2;200;20221130205001
135;0;1;-12;120;20221129224001
191;0;1;4;200;20221130192001
177;0;1;11;200;20221130132001
77;0;1;-28;60;20221130055501
78;0;1;-30;60;20221130024001
202;0;1;-1;200;20221130220501
192;0;1;4;200;20221130181501
77;0;1;-28;60;20221130054501
182;0;1;9;200;20221130150501
119;0;1;0;120;20221129183001
117;0;1;2;120;20221129194201
209;0;1;-4;200;20221130234534
120;0;1;0;120;20221129174201
209;0;1;-4;200;20221130224001
195;0;1;2;200;20221130174501
139;0;1;-15;120;20221129232501
59;0;1;1;60;20221130080001
123;0;1;-2;120;20221129205201
198;0;1;1;200;20221130210501
74;0;1;-23;60;20221130060501
115;0;1;4;120;20221129190001
188;0;1;6;200;20221130163501
115;0;1;4;120;20221129185201
66;0;1;-10;60;20221130073501
182;0;1;9;200;20221130155501
195;0;1;2;200;20221130202001
139;0;1;-15;120;20221130001501
194;0;1;3;200;20221130182001
55;0;1;8;60;20221129165001
54;0;1;10;60;20221130082001
43;0;1;28;60;20221129163601
138;0;1;-15;120;20221130004501
138;0;1;-15;120;20221130005501
139;0;1;-15;120;20221129233501
179;0;1;10;200;20221130130002
203;0;1;-1;200;20221130221501
55;0;1;8;60;20221129164801
139;0;1;-15;120;20221129235501
50;0;1;16;60;20221130091501
120;0;1;0;120;20221129195001
125;0;1;-4;120;20221129205801
78;0;1;-30;60;20221130014501
116;0;1;3;120;20221129191401
122;0;1;-1;120;20221129202801
187;0;1;6;200;20221130160501
119;0;1;0;120;20221129181801
139;0;1;-15;120;20221130002501
121;0;1;0;120;20221129203201
116;0;1;3;120;20221129191001
208;0;1;-4;200;20221130223001
190;0;1;5;200;20221130173001
115;0;1;4;120;20221129185601
118;0;1;1;120;20221129193401
192;0;1;4;200;20221130181001
115;0;1;4;120;20221129184401
69;0;1;-15;60;20221130072001
184;0;1;8;200;20221130155001
208;0;1;-4;200;20221130223501
199;0;1;0;200;20221130211501
123;0;1;-2;120;20221129205401
130;0;1;-8;120;20221129220001
78;0;1;-30;60;20221130021001
122;0;1;-1;120;20221129203401
41;0;1;31;60;20221130114501
69;0;1;-15;60;20221130070001
72;0;1;-20;60;20221130063001
48;0;1;20;60;20221130095001
78;0;1;-30;60;20221130044001
176;0;1;12;200;20221130133001
49;0;1;18;60;20221130094001
70;0;1;-16;60;20221130071501
209;0;1;-4;200;20221130234619
123;0;1;-2;120;20221129205001
137;0;1;-14;120;20221129225501
78;0;1;-30;60;20221130025501
124;0;1;-3;120;20221129204001
121;0;1;0;120;20221129200801
174;0;1;13;200;20221130134501
188;0;1;6;200;20221130162501
210;0;1;-5;200;20221130232501
176;0;1;12;200;20221130140001
190;0;1;5;200;20221130172501
115;0;1;4;120;20221129190201
43;0;1;28;60;20221129163801
78;0;1;-30;60;20221130045001
178;0;1;11;200;20221130140501
139;0;1;-15;120;20221129231501
78;0;1;-30;60;20221130042501
78;0;1;-30;60;20221130025001
115;0;1;4;120;20221129184601
176;0;1;12;200;20221130132501
50;0;1;16;60;20221130092001
119;0;1;0;120;20221129173401
119;0;1;0;120;20221129182601
78;0;1;-30;60;20221130024501
194;0;1;3;200;20221130184155
49;0;1;18;60;20221130094501
52;0;1;13;60;20221130084501
121;0;1;0;120;20221129202001
117;0;1;2;120;20221129194601
74;0;1;-23;60;20221130061001
191;0;1;4;200;20221130170501
115;0;1;4;120;20221129183801
77;0;1;-28;60;20221130050501
118;0;1;1;120;20221129195201
129;0;1;-7;120;20221129215001
129;0;1;-7;120;20221129214501
